POINT_ID,Depth,BD 0-20,pH_CaCl2,EC,OC,P,N,K,Clay,erosion_by_water
50423090,,1.107,,,,,,,14.0,0.42267319560051
47764876,0-20 cm,0.951,4.3,2.83,19.9,20.9,0.9,25.1,6.0,
47864818,0-20 cm,0.786,3.4,2.63,17.9,< LOD,0.6,24.9,7.0,
47884810,0-20 cm,0.762,4.5,4.32,24.9,14.3,1.2,50.3,4.0,
48084692,0-20 cm,0.467,3.3,5.8,73.8,< LOD,2.1,51,4.0,
48124678,0-20 cm,,3.6,3.02,21.7,< LOD,0.7,24.9,4.0,
48044728,0-20 cm,0.127,3.2,28.0,332.4,23.1,13.4,197.3,5.0,
47944796,0-20 cm,0.267,3.0,15.13,216.6,29.6,4.7,248.4,3.0,
48004770,0-20 cm,0.82,4.3,3.89,31.6,< LOD,1.5,39.1,3.0,
47904850,0-20 cm,0.874,3.7,2.96,21.5,< LOD,0.8,25.8,7.0,
47625018,0-10 cm,,3.8,4.77,42.3,14.6,1.6,52,7.0,
48084764,0-20 cm,0.232,3.8,15.17,177.8,19.4,5.7,185.8,7.0,
48124750,0-20 cm,0.625,4.0,3.64,29.1,12.2,1.1,41.9,3.0,
48184716,0-20 cm,0.642,3.5,7.9,106.8,20.7,3,134.8,4.0,
48344622,0-20 cm,0.195,3.3,10.49,156.4,18.4,5.1,100.3,,
48204714,0-20 cm,0.735,3.8,6.16,53.5,16.2,2.2,48,4.0,
48044814,0-20 cm,0.563,3.4,3.75,52.7,25,1.5,45.8,4.0,
50503260,,1.191,,,,,,,5.0,0.870578408241272
48004842,0-20 cm,0.569,3.2,5.77,55.5,43.4,1.4,36.8,3.0,
48124778,0-20 cm,0.859,3.7,3.57,24.4,42.1,0.9,114.7,1.0,
47984874,0-20 cm,0.741,3.3,2.85,11,< LOD,0.5,33.1,7.0,
47904922,0-20 cm,0.945,3.7,3.21,9.8,< LOD,0.6,15.5,3.0,
48304692,0-20 cm,0.293,3.1,6.74,121.1,11.8,3.1,53.7,,
52501890,0-10 cm,,5.6,10.44,69,10.8,5.5,209.5,26.0,2.24848484992981
47765016,0-10 cm,,4.1,4.09,14.6,10.5,0.8,23.8,4.0,
48304706,0-20 cm,1.145,4.0,2.77,16.3,< LOD,0.6,16.4,3.0,
50283482,0-20 cm,0.607,5.9,91.4,337.9,14.4,24.6,115.5,,0.503524959087372
50323462,0-20 cm,0.99,4.3,6.36,8.3,25.6,0.9,23,3.0,
50383432,0-20 cm,0.918,3.0,5.07,32.5,15.7,1.5,22.1,3.0,
48084860,0-20 cm,0.893,4.0,3.21,15.9,20.9,0.7,25.3,7.0,
52601900,0-20 cm,,4.3,8.21,33.6,21.6,2.6,204.8,25.0,0.705245733261108
51242902,0-10 cm,,5.9,9.64,47.4,< LOD,3.7,214.7,30.0,0.0
48404692,0-20 cm,0.45,3.3,7.18,212.9,12.3,6.6,65.7,,
47944962,0-20 cm,0.414,3.9,10.38,110.3,24.1,4.4,71,3.0,
47884996,0-10 cm,,3.6,5.63,79.6,12.9,2.5,99.8,5.0,
48164838,0-20 cm,0.236,3.0,9.32,137.1,27.8,3.7,140.2,5.0,
48124868,0-20 cm,0.171,3.6,17.38,396.1,16.2,25.9,62.6,,
48304768,0-20 cm,0.432,3.6,9.32,89.7,34.5,3.7,142.9,30.0,
48584620,0-20 cm,,3.8,24.1,125.5,22.6,5.6,109.1,,
48344758,0-20 cm,0.342,3.8,18.01,137.6,34.6,5.5,102,8.0,
52681954,,1.226,,,,,,,19.0,0.0
48204840,0-20 cm,0.405,3.3,7.23,71.6,25.1,2.2,102.3,5.0,
47984970,0-20 cm,,4.3,2.56,18.8,24,1,23.4,3.0,
48464702,0-20 cm,0.168,3.2,17.08,330.2,14.7,9.6,89.1,2.0,
48344784,0-20 cm,0.077,3.4,14.53,468.6,17.3,16.7,258.3,,
51302992,,0.953,,,,,,,3.0,0.0
48344794,0-20 cm,0.52,3.4,7.41,76.8,28.7,2.4,78.6,5.0,
51462892,0-10 cm,,5.9,20.4,15.1,18.8,1.8,162.8,11.0,1.24449527263641
48004986,0-20 cm,0.484,4.7,9.6,73.9,< LOD,4.2,39.2,,
48164902,0-20 cm,0.668,3.7,14.39,81.8,45.6,3.2,67.8,2.0,
52841946,0-10 cm,,7.3,43.5,225.2,22.7,13.9,293.6,9.0,0.0262398738414049
48184896,0-20 cm,1.148,4.5,4.19,19.4,56.7,1.1,42.2,2.0,
48544698,0-20 cm,0.609,3.2,5.74,68,37.4,2.6,47.3,5.0,
48504726,0-20 cm,0.736,3.2,4.43,21.1,25.7,0.9,33.5,3.0,
48184914,0-20 cm,1.014,4.1,2.71,32.6,31.7,1.1,25.9,4.0,
52961912,,0.983,,,,,,,19.0,0.0
48304850,0-10 cm,,3.6,,425.9,28.2,11.4,464.7,,
49064428,0-20 cm,1.194,6.1,6.03,17.6,56.1,1.5,80.1,13.0,
49164374,0-20 cm,0.298,3.6,15.76,191.3,30.5,11.4,103.4,5.0,
48184932,0-20 cm,0.658,3.5,4.65,55.1,11.2,1.9,48.5,5.0,
48244900,0-20 cm,0.086,3.7,10.17,448.8,31.1,16.1,350.9,,
48124966,0-20 cm,0.891,3.4,3.78,31.3,17.3,1,50.9,2.0,
48524748,0-20 cm,0.679,4.3,8.19,32.8,< LOD,2,82.9,3.0,
52882044,0-20 cm,1.05,5.2,7.23,20,54.1,1.8,542.1,45.0,
49504222,0-20 cm,1.296,6.3,17.92,11.1,39.9,1.2,117.4,28.0,
53241856,0-20 cm,4.184,5.8,12.68,54.1,15.5,4.8,300.6,26.0,
48444842,0-20 cm,0.157,3.8,26.6,159.2,32,7.9,235.8,5.0,
49344350,0-20 cm,0.11,3.5,11.01,60.2,21.4,2.7,97.4,4.0,
48544798,0-20 cm,0.305,3.6,12.19,137.3,31.3,5.8,166.6,,
51143302,,0.543,,,,,,,9.0,2.79481077194214
48444854,0-20 cm,,3.7,4.4,56.8,13.2,1.7,55.1,4.0,
51003396,0-20 cm,,4.6,4.22,6.8,81.1,0.7,43.1,2.0,0.0
49204444,0-20 cm,0.318,5.2,31.9,434,48.8,21.7,139.7,,
49484292,0-20 cm,0.519,4.5,18.0,174.2,15.6,11.4,186.3,14.0,
48644756,0-20 cm,0.095,3.7,57.5,437.9,28,19.5,283.6,,
50343800,0-20 cm,0.602,6.2,36.7,266.1,17.5,21.1,138.1,,0.299999982118607
52182664,,1.33,,,,,,,47.0,7.72886266986461e-07
48264962,0-20 cm,,4.6,12.5,451.4,34.1,13.9,451.7,,
49464312,0-20 cm,0.882,5.6,20.4,50.6,47.6,4.3,176.4,24.0,
48544816,0-20 cm,0.131,3.9,106.4,477.7,50.6,32.3,293.8,,
51083368,0-20 cm,,5.2,9.43,10.7,43.9,1.1,60,6.0,0.367773354053497
52242650,,1.295,,,,,,,66.0,0.0500004403293133
48524838,0-20 cm,,3.0,9.41,308.3,75.5,7.4,396.3,,
48664768,0-20 cm,0.068,3.6,17.14,450,15.3,17.1,370.7,,
50463772,0-20 cm,,6.6,11.83,29.4,< LOD,2.3,78.9,10.0,2.30642533302307
50683644,0-20 cm,,5.3,6.04,28.9,< LOD,2.4,89.1,13.0,2.94653272628784
53821642,0-20 cm,,7.3,12.68,13.2,25.1,1.4,259.2,22.0,5.34158039093018
48524866,0-20 cm,0.768,3.9,4.56,40.3,30.5,1.7,46.2,7.0,
49224492,0-20 cm,1.044,6.3,11.43,28.5,39.3,2.4,146.8,25.0,
50663688,0-20 cm,,5.0,5.64,27.9,11.2,2.4,72,12.0,0.050000324845314
49384418,0-20 cm,0.813,3.3,7.18,44.1,14.7,1.4,51.4,4.0,
49724240,0-20 cm,0.911,5.3,17.95,54.6,64.3,4.4,381.1,43.0,
49624302,0-20 cm,0.704,5.3,29.9,179.1,39.1,11.7,209.9,,
49744242,0-20 cm,0.932,5.1,11.97,52.5,60.6,3.9,132.9,30.0,
48564876,0-20 cm,0.882,3.9,3.52,13.5,< LOD,0.5,23.2,5.0,
48524898,0-20 cm,0.11,3.9,9.87,455,31.8,12.2,377.4,,
52442662,0-20 cm,1.432,5.2,3.42,11.1,29.6,1.3,121.1,31.0,
48664836,0-20 cm,0.791,3.3,5.18,32.7,< LOD,1.4,66.6,2.0,
52422696,,1.328,,,,,,,60.0,2.18893404735354e-07
49784244,0-20 cm,0.159,3.2,29.7,506.4,59.2,19.2,363.2,,
48704820,0-20 cm,,3.5,11.16,450.4,46.2,19.1,412,,
51603214,0-20 cm,,4.0,10.84,5.8,20.8,0.7,50.6,3.0,0.787780225276947
49864226,0-20 cm,1.101,5.0,10.91,80,59.6,6.2,191.6,17.0,
48684852,0-20 cm,0.753,3.5,4.07,50.8,< LOD,1.7,33.4,6.0,
48584908,0-20 cm,0.733,3.9,4.05,40.6,37.8,1.5,46.4,5.0,
49644354,0-20 cm,0.151,4.1,19.44,109.7,54.8,5.8,110.4,5.0,
52562666,,1.135,,,,,,,22.0,0.0
48464972,0-20 cm,0.141,3.6,8.68,451.6,27.5,18.9,200.4,,
50903664,0-20 cm,,5.9,6.19,14.1,< LOD,1.5,71.3,17.0,1.30725732461201e-08
49824264,0-20 cm,0.136,3.1,33.7,524.6,112.1,27.8,380.8,,
49364510,0-20 cm,1.155,6.0,10.28,25.3,59.8,2.5,267.9,28.0,
49784290,0-20 cm,0.336,3.0,11.64,200,24.7,7.4,168.3,6.0,
49744314,0-20 cm,0.151,3.9,37.1,471.1,32.6,24.4,286.8,,
50503900,0-20 cm,1.002,2.9,4.18,41.7,< LOD,1.1,35.7,,0.0
48564930,0-20 cm,0.106,3.7,14.55,451.8,29.6,20.3,145.7,,
52082986,,1.221,,,,,,,16.0,0.0
49564412,0-20 cm,1.197,5.0,7.87,18.6,40,1.8,63,8.0,
51683234,0-20 cm,,4.7,16.75,24.5,10.6,2.3,19.4,14.0,0.0
48544950,0-20 cm,0.4,3.6,8.14,112.9,24.6,4,92.5,8.0,
49544434,0-20 cm,1.114,4.5,5.41,38.6,57.6,1.8,74.3,4.0,
48804824,0-20 cm,0.826,3.8,4.01,18.7,< LOD,0.9,28.2,3.0,
48584940,0-20 cm,0.73,4.2,3.95,26.7,38.4,1.2,36.9,6.0,
49524464,0-20 cm,0.515,3.2,7.71,181.1,27.8,7.8,163,15.0,
49984222,0-20 cm,1.312,6.1,12.02,29.5,42.5,2.8,266.5,61.0,
49464498,0-20 cm,0.073,3.0,10.52,439.8,56.3,11.2,239.2,,
49504478,0-20 cm,0.942,4.9,9.23,35.4,25.5,2.7,353.3,31.0,
48524982,0-20 cm,,3.9,4.04,36.1,22.9,1.4,33.7,7.0,
51503414,0-20 cm,0.276,5.4,164.9,451.6,14.5,42.8,82.5,,0.0
49424542,0-20 cm,0.819,3.3,8.13,90.1,18.1,3.6,46.5,,
48864834,0-20 cm,,3.6,8.76,63.4,44,2,125.8,4.0,
49724396,0-20 cm,1.079,3.7,2.17,13.4,14.2,0.6,11.7,2.0,
50124194,0-20 cm,1.204,4.5,11.81,23.7,22.6,2.2,181.9,27.0,
48724914,0-20 cm,1.024,4.0,3.01,17.1,25.2,0.8,30.7,4.0,
51503456,0-20 cm,,5.0,4.94,13.8,17.2,1.2,34.6,2.0,4.88470050186152e-07
52662796,,1.369,,,,,,,69.0,1.50191640853882
50084240,0-20 cm,1.131,4.9,7.39,20.7,26.2,1.8,181,53.0,
50204184,0-20 cm,0.794,4.7,8.35,81.9,31.7,6.3,218.7,32.0,
49904342,0-10 cm,,3.4,17.91,285,87.2,9.5,324.6,10.0,
48624986,0-20 cm,0.702,4.2,6.68,54.7,26.9,2,61.4,4.0,
50004294,0-20 cm,0.908,6.5,25.4,36.6,226.7,3.5,439.1,36.0,
50024284,0-20 cm,1.116,6.4,16.13,20.6,73,1.8,167.2,32.0,
50144222,0-20 cm,1.24,5.5,10.26,30.1,22.3,2.6,287.3,45.0,
50144226,0-20 cm,0.647,3.9,6.88,59.4,19.1,2.5,55.5,7.0,
51223648,0-20 cm,,6.6,15.65,11.6,25.4,1.4,164.4,11.0,0.0
50184210,0-20 cm,0.662,4.1,10.48,142.9,16,14,127,7.0,
49584522,0-20 cm,1.307,5.5,8.54,23.5,78.1,1.5,48.7,4.0,
50004308,0-20 cm,1.012,4.7,7.34,36,36.8,2.9,245.1,44.0,
48804914,0-20 cm,1.124,4.3,3.72,16.6,26.2,0.8,23.6,6.0,
50144242,0-20 cm,1.073,5.1,8.16,36.2,43.4,2.7,271.8,48.0,
53922084,0-20 cm,,6.7,16.38,8.3,29.8,1,212,31.0,1.19695281982422
54221900,10-20 cm,,7.3,18.78,30.8,97.6,2.7,669.9,19.0,2.51444721221924
50104274,0-20 cm,1.167,5.8,8.69,23.4,39,2,180.4,33.0,
49604542,0-20 cm,0.143,2.9,9.94,476.4,33.1,11.2,248.3,,
48884898,0-20 cm,1.057,4.2,3.72,27.2,< LOD,1.1,27.3,8.0,
53122622,,1.051,,,,,,,50.0,0.0
49864414,0-20 cm,1.219,4.0,2.93,18.8,11.7,0.8,27,2.0,
52802816,,1.056,,,,,,,60.0,0.0
50084306,0-20 cm,0.642,3.3,7.49,60.6,19,2.8,74.5,8.0,
51723436,0-20 cm,,5.9,17.53,32,45.7,3.3,17.9,4.0,0.0500015690922737
51843370,0-20 cm,0.967,5.4,12.85,10.1,24.8,1.2,130,9.0,
49784460,0-20 cm,0.461,3.4,8.85,109.6,30.2,4.7,112.9,,
48844930,0-20 cm,0.744,3.3,5.87,64.8,22.7,1.7,61.4,4.0,
54581742,0-20 cm,,7.6,22.5,14,97.5,1.8,199.1,26.0,39.5329132080078
49884422,0-20 cm,0.532,3.0,7.4,156,16.7,5.4,152.9,3.0,
48904906,0-20 cm,0.552,4.5,13.42,53.4,30.7,3.4,105.8,12.0,
50164284,0-20 cm,0.938,4.8,6.01,27.3,18.7,1.6,26.9,4.0,
49604566,0-20 cm,1.41,5.2,11.09,28.8,16.9,2.3,75,5.0,
48944890,0-20 cm,0.982,4.2,3.34,17.8,< LOD,0.7,26.4,7.0,
48724996,0-20 cm,0.111,3.2,10.09,494.4,37.4,16.4,162.4,,
51023840,0-20 cm,,5.7,5.82,17.1,33.4,1.8,221.3,10.0,1.22871583130291e-07
50104318,0-20 cm,0.577,3.9,9.22,79.7,18,4.7,131.2,14.0,
49844454,0-20 cm,0.385,3.4,11.33,136.7,48.1,6.7,110.9,8.0,
50284232,0-20 cm,1.113,6.6,20.4,34.3,42.1,3,308.5,62.0,
52962774,,1.023,,,,,,,71.0,0.0
49664548,0-20 cm,1.318,3.6,2.71,12.2,12.6,0.7,23.2,4.0,
50084338,0-20 cm,0.742,5.1,12.31,125,24.2,7.2,165,,
48924916,0-20 cm,0.077,3.5,8.04,454.2,27.1,14.4,221.1,,
49724528,0-20 cm,0.964,6.3,30.6,73.2,53.1,5.3,158.7,,
50004394,0-20 cm,0.424,3.3,13.12,116.7,49.6,4.6,152.6,2.0,
