X,Y,POINT_ID,SHI_OBSERVED
-5.59047809411883,57.429752538228,33923916,3.65
-4.81776186922285,55.8517888667758,34003734,3.6
-3.40918688262648,56.7761086623443,35063818,3.75
-3.2979712417587,57.6826120230133,35323916,3.85
-2.92593788972182,57.5006124319126,35503892,3.4
-2.71123336677938,57.1750081197262,35563854,3.55
-2.8896110033594,57.686697934211,35563912,3.85
-2.40009513976752,57.5513320650259,35823892,2.85
21.0952923962763,54.1975539939423,50423510,3.05
22.7401024579515,54.9844345494778,51323614,3.35
22.8413097616721,55.1015965978735,51363628,3.35
22.7234771050682,54.5306122253724,51403564,3.7
22.9225051363861,55.0567261830857,51423624,3.2
22.6727794642502,55.1735362017826,51243634,3.15
23.3334513425589,55.1410191743644,51663638,3.8
23.0360191726028,55.2089932206682,51463642,3.4
23.4688424307082,55.1629406553661,51743642,3.15
22.4782079241344,55.2660183596073,51103642,3.65
22.6699415926168,55.264934124562,51223644,3.1
22.8306716218047,55.26674694719,51323646,3.75
22.6135139011118,55.2888658673295,51183646,2.9
24.6097057566054,55.1254543416881,52463652,2.5
23.0711910114998,54.7311626241063,51583590,3.1
23.1899900924506,54.9009223448921,51623610,2.95
24.3354463757433,54.8098909110692,52363614,3.75
24.4207859197152,54.7816479383243,52423612,3.35
20.2976543426411,53.2336957146137,50063396,3.6
20.4337380513917,53.2944935017822,50143404,2.7
20.3899938980958,52.9900292480275,50163370,3.7
21.5161392172184,52.6868746317287,50963348,3.3
22.046199273112,51.8886170801891,51463266,3.65
22.2519767702766,51.88540852909,51603268,3.6
21.9885402305333,52.2218466388591,51363302,2.8
22.9124228539198,52.1238804895647,52003302,3.1
22.2825825656632,52.2096836132336,51563304,3.8
22.0755119967291,52.3220682377594,51403314,2.8
22.6307224317315,52.2820044232746,51783316,2.65
22.4381403785495,52.3389189427985,51643320,3.1
21.7362908957087,52.501730707027,51143330,3.6
21.7749647975742,52.5342400289203,51163334,3.55
22.8031206010933,52.4637130300987,51863338,3.0
22.87160823038,52.4926952172166,51903342,3.0
22.9745164415504,52.5360910653119,51963348,2.8
22.9612230222017,52.5922116452967,51943354,3.0
23.0538441327578,52.6002473859659,52003356,2.7
22.5635204371659,52.6715080230999,51663358,2.65
23.1227277316267,52.6290773118348,52043360,2.95
21.6706307733459,52.9262179832482,51023376,2.65
22.6442866897567,52.845007208091,51683378,3.2
22.4493307476024,52.9019757099613,51543382,3.25
21.920480331812,52.9560449202361,51183382,3.05
22.0384428963853,53.0533199585542,51243394,2.85
22.230353970115,53.0884089463601,51363400,2.9
22.3802422700391,53.2913810969428,51423424,2.7
22.006714597225,53.8022019916137,51083476,3.05
22.0305423508604,53.5633792987727,51143450,2.55
22.2391933739063,53.5423955114694,51283450,3.25
22.3350212556186,53.6600340535966,51323464,3.2
22.3829199192468,53.5095204561511,51383448,2.85
22.4895774778156,53.6623663791123,51423466,3.6
22.5440093520518,53.6385203333282,51463464,3.05
20.2943473038086,53.5965780290933,50003436,3.65
21.2412649501929,53.4759152308989,50643432,3.7
21.6484494538732,53.4009081868259,50923428,3.6
25.0453508755992,54.5786428161404,52863598,3.25
25.318135923711,54.544842592392,53043598,3.7
25.934955577347,54.9802445867238,53323654,3.3
21.6796797534467,53.0707283219682,51003392,3.45
22.3957206930421,53.3443875154988,51423430,3.05
22.0003167525218,53.4572623253956,51143438,2.8
19.1211708568978,53.8171701606705,49203450,3.65
19.5295205074392,54.1299428386614,49423488,2.35
19.5886603990934,54.2521031886132,49443502,2.45
19.8625088264877,54.2304045529704,49623502,3.5
19.9798441032001,54.2027925953248,49703500,2.75
20.0754179233138,54.0862233720755,49783488,2.85
20.2752512262989,54.2690399018425,49883510,2.65
20.6750009299328,54.2530448048251,50143512,2.5
20.9572924642006,54.028446262791,50363490,3.35
21.0103428133043,53.8784336502985,50423474,3.65
21.1782082114813,54.0447226334289,50503494,3.0
21.9827801260663,54.0410204689713,51023502,3.0
22.3103372174532,53.680749828872,51303466,3.25
25.245921945191,55.5255598390897,52763704,3.05
25.8576313088165,55.6697823799123,53103728,3.4
23.5659408588928,54.6959720286593,51903592,3.4
23.7550197785569,54.6932653534861,52023594,3.85
24.3284110586308,54.7009746693399,52383602,3.05
24.2842544221907,54.4866774228246,52403578,3.55
24.282652680184,54.212603456388,52463548,3.05
24.2949109733075,54.2477335441655,52463552,2.65
24.3066456047592,54.1915045539246,52483546,2.55
24.7289782964167,54.5804215332394,52663594,3.45
25.0183641545133,55.1865722048802,52703664,3.85
25.0507518612334,55.0177237990269,52763646,3.05
25.2269787386396,55.1428183617216,52843662,2.95
25.2375003249406,55.0865231029758,52863656,2.9
26.0614692551205,55.8459928179095,53183750,3.8
27.4919777157511,55.8758467001472,54043774,3.4
27.0246579167607,56.0138477989775,53723782,3.0
27.1104157348387,56.205081520013,53723804,2.9
26.5979151602948,56.4022651846351,53363818,3.45
27.039559584409,56.3437372875463,53643818,3.4
27.1655146476623,56.3267391802542,53723818,3.15
27.5444744572241,56.4225344949741,53923834,3.1
27.6786395526843,56.422378938979,54003836,3.4
27.0947530163722,56.5392064619884,53623840,2.65
28.104276350133,56.3992631174358,54263840,3.7
28.0265589296196,56.4473481729141,54203844,2.9
21.4672337622118,55.4172739149644,50443648,2.9
24.5922671727542,58.260060114253,51723994,3.3
22.625911783098,58.4967738023413,50543998,3.65
24.6284725302902,58.3477805140332,51724004,3.65
23.8853856142435,58.5003033313521,51264012,3.75
24.1879455877359,58.468600235276,51444012,3.45
23.799062753515,58.6373343971863,51184026,3.65
23.9564511181287,58.7675836747938,51244042,3.85
25.1699454753923,56.9104237812812,52383854,3.2
25.0877272476437,56.9567640932311,52323858,3.2
25.0731511369737,57.0868855739982,52283872,3.75
24.5579291737078,57.2374118484027,51943882,3.15
25.0657125674512,57.2345248981187,52243888,3.4
24.632241815427,57.3390271812991,51963894,2.95
24.7952918336705,57.7423695605005,51963940,3.65
24.966877839907,57.7412849708524,52063942,3.7
24.7438362046165,57.7848264504766,51923944,3.7
24.7983389544081,57.8337309128093,51943950,3.6
25.0106023029146,57.8464056800196,52063954,3.15
21.2789848541142,55.5433542410163,50303660,3.55
22.9777521199284,55.3244800450149,51403654,3.0
21.4826561885757,55.4703986563559,50443654,2.8
21.5503291086056,55.4823762683498,50483656,3.3
21.794491557425,55.3323629955595,50663642,3.8
21.93941864958,55.2822370642805,50763638,3.1
21.3146158575542,55.6673691135106,50303674,2.8
21.6704599046466,55.6713203246432,50523678,3.0
21.2406680933811,55.7466609124057,50243682,3.55
21.5711803919079,56.2078213714745,50363736,3.45
21.8529383624023,56.2729451209801,50523746,3.45
21.6034952926516,56.4231509470754,50343760,3.7
21.261644384304,56.4899585449756,50123764,3.5
21.9523013920179,56.5913353103008,50523782,3.0
21.4107684072698,56.7677420990319,50163796,2.9
21.5776577801819,56.7710917214065,50263798,3.35
21.6964868165923,56.8331752880883,50323806,3.35
21.5458956663451,56.9922231122736,50203822,3.9
23.4980909450722,55.9996750684103,51583734,2.65
23.4411574980617,56.0239872629555,51543736,2.95
22.5615141882039,56.1322717561563,50983738,3.9
22.9416035944878,56.0941574548785,51223738,3.35
22.1283646800292,56.210672912144,50703742,3.7
22.2929383671008,56.2131285223241,50803744,2.95
22.0136026195756,56.3671618397636,50603758,3.75
22.7762505505364,56.3843924549399,51063768,3.15
22.7502577261138,56.4052197895026,51043770,3.35
23.3936628861677,56.3576812760167,51443772,3.7
22.1167099579308,56.4849052671234,50643772,2.65
23.838700860311,56.3101898645623,51723772,2.95
23.787909783543,56.3522484803125,51683776,3.5
22.2034211314858,56.5495401259449,50683780,3.8
22.0486385536383,56.5823491229825,50583782,3.35
22.7538035435464,56.51427457751,51023782,3.95
22.2168960309582,56.6939753085995,50663796,2.5
22.2548157085017,56.7085926068859,50683798,3.75
22.6788815058905,56.6857954561895,50943800,3.8
23.5450053328457,56.5974717686047,51483800,3.3
22.5942078738689,56.7305621637087,50883804,3.5
22.7910502712978,56.8206123516755,50983816,3.0
22.6918601819017,56.9215740403917,50903826,3.05
22.5624465948319,56.9341915552033,50823826,3.7
23.2149220684993,56.8874504495853,51223828,3.25
22.6750435188473,57.069110972611,50863842,3.3
22.66430576113,55.4477316346364,51183664,2.95
21.795466413604,55.550547531242,50623666,3.75
22.3712677026558,55.6408872741456,50963682,3.8
22.7072005412741,55.6803254207324,51163690,3.65
21.870268086044,55.7982269023136,50623694,3.05
22.7871758247904,55.7269221215103,51203696,3.0
21.9766945376948,55.9337854510021,50663710,3.6
22.6074634028495,55.8725773588988,51063710,3.1
22.8196281034328,55.9241813694335,51183718,2.85
22.3632433486297,56.0241700992807,50883724,3.05
23.1992019687009,55.4107443174534,51523666,3.55
23.1370104723955,55.4172867718863,51483666,3.6
24.0556890800217,55.3721717958862,52063672,3.45
23.999930377402,55.3967139098839,52023674,3.5
23.0164109670965,55.5393077358679,51383678,2.75
23.7263139489458,55.5366612346436,51823686,3.5
23.3893904629201,55.5913225409554,51603688,2.85
23.8321538530631,55.5615731909121,51883690,3.6
23.2704578411788,55.6221909484346,51523690,2.75
24.5359998531963,55.5367737840623,52323696,3.2
24.0193730881273,55.6321869137778,51983700,3.1
23.9632493316983,55.6567189281071,51943702,2.95
23.0242705495458,55.7573642250496,51343702,3.75
24.2256927605653,55.6638477409452,52103706,3.95
23.606621702858,55.7506078573268,51703708,3.65
23.3932907681429,55.7917131537567,51563710,3.15
22.9024212056939,55.8792986375036,51243714,2.8
23.6878310880135,55.7966150072812,51743714,3.45
23.926099351592,55.8253502082238,51883720,4.0
24.74634072925,55.7502655053732,52403722,3.8
24.8622079322747,55.6266909784285,52503710,2.7
24.8023159641964,55.4689200531825,52503692,2.8
24.7429890394774,55.3111145961487,52503674,3.2
25.0136985803354,55.6819475036406,52583718,2.75
25.067767726023,55.4005177874205,52683688,3.0
23.3912582610466,55.9744948603572,51523730,3.7
23.2820125865526,55.2742481816744,51603652,3.05
23.3630504985016,55.2290935343706,51663648,3.3
23.5357231936458,55.265228496695,51763654,3.65
23.7835341589293,55.1467298872684,51943644,3.3
24.0616014315502,55.2983803979068,52083664,3.25
24.2827859724261,55.1086144036112,52263646,3.1
24.3941944084594,55.1506266028344,52323652,3.4
24.134086311127,55.9485168053626,51983736,3.45
24.2283828765866,55.9379361099953,52043736,2.95
24.07760677018,55.9731059555449,51943738,3.95
23.9580737682427,56.0046318145119,51863740,3.5
24.8514482681803,55.9394361394785,52423744,3.2
24.8649732011482,55.9744920651666,52423748,2.7
24.1226766034224,56.0961123288563,51943752,3.75
24.6336041147334,56.0564362669195,52263754,3.85
24.8044818866294,56.0732047532622,52363758,3.85
23.8955172925822,56.1943175997279,51783760,3.05
24.4644372421963,56.1307907853418,52143760,3.2
23.9845073988184,56.257701301523,51823768,3.7
24.1941892902173,56.2893703889857,51943774,4.0
24.0615279054444,56.3772451822921,51843782,3.1
23.9790678781367,56.422876907642,51783786,3.5
25.6128842880031,55.7923080152059,52923738,3.15
25.5887364113264,55.8136645508488,52903740,3.85
25.5091123919069,55.8602212729416,52843744,3.9
25.4817032616774,55.9553649415712,52803754,3.15
25.6111873293107,56.0312030401306,52863764,2.85
25.2585345295839,56.2210311068865,52603780,3.75
25.6812064904495,56.6837960705372,52743836,3.35
21.1950019264749,56.1504786928779,50143726,3.15
21.3801198101345,56.2249907781516,50243736,3.8
21.5834590407887,56.897915229401,50243812,3.2
21.6875908591451,57.125131284173,50263838,3.75
21.6452513727278,57.3108972507004,50203858,2.9
22.2094985781182,57.3869528834436,50523872,3.75
22.1146431442634,56.6854119398997,50603794,3.5
23.4482939832049,56.6989678555535,51403810,3.65
24.4795070996267,56.6051256935693,52043812,3.8
24.5405137468594,56.7630605351487,52043830,3.4
24.6250926434419,57.0649470822264,52023864,2.85
26.344534858991,55.3496021971638,53483700,3.45
26.3389870413116,55.2583739100432,53503690,3.7
26.3407253638169,55.1845816096713,53523682,2.55
26.458862055938,55.3897038482635,53543706,3.0
25.6802455596318,54.1686828985295,53363562,2.9
24.9417671765772,54.2982715845187,52863566,2.8
25.165640485116,54.3072642639303,53003570,3.4
23.7486232445627,53.2698015444543,52323438,2.8
23.1926537041236,53.3505415182439,51943440,3.5
23.5180252773789,53.3143024659459,52163440,2.5
23.3573060335694,53.3870364085879,52043446,3.65
23.0905907449515,53.4164037920335,51863446,2.7
23.6942413677398,53.3855527919727,52263450,3.1
23.359447981152,53.5874362428977,52003468,3.75
23.2757470110912,53.6149210265166,51943470,2.75
25.6999485240758,58.6303535062208,52264048,3.6
25.9749780485693,58.6898913689982,52404058,2.75
25.9077084845185,58.6978865095414,52364058,3.0
26.2091561833066,58.7354836361025,52524066,3.3
26.3182682686141,58.740689090548,52584068,3.85
24.3699276866085,58.9991370828584,51424072,3.8
25.9800191254437,58.8550329629613,52364076,3.9
26.3002148907997,58.8534870294755,52544080,3.95
25.978551789593,58.9288772049416,52344084,3.9
24.9257509928844,59.0491785108141,51724084,3.5
26.2573606624485,58.9139702078856,52504086,3.3
24.5193701225821,59.1849920867633,51464094,3.75
26.3741319862119,59.0842383108119,52524106,3.25
26.0423677343757,59.1423792270419,52324108,2.8
26.0493377332213,59.2336841820162,52304118,3.8
26.3383202684159,59.3098761067378,52444130,3.3
27.1149507588309,58.62274278141,53064066,3.55
25.7711457491141,58.7876218921367,52264066,3.9
26.9226086505184,58.6657079622934,52944068,3.85
26.8328932088477,59.2125594126987,52744126,3.8
27.2345017907273,59.2915088538941,52944140,3.5
26.7229114682563,59.4292986207007,52624148,2.9
28.034152978903,59.4284602300119,53344166,3.8
25.9840334658143,59.5546178211218,52184152,3.75
25.5809403763968,59.2329358288498,52044112,2.75
25.0485953651153,59.3295514818538,51724116,3.8
26.7381403703372,58.5043529921685,52884048,3.1
26.5459941499316,58.5467759082106,52764050,3.05
26.5029710065126,58.7549757798036,52684072,3.25
25.241376675339,56.9203469039693,52423856,3.7
25.4816275311521,57.7366955353755,52363948,3.65
25.3876739610677,57.839595330233,52283958,2.8
25.6133172170105,58.1990916116004,52324000,3.15
25.7085437156507,58.3349959591525,52344016,3.55
25.7653154881996,58.3834742701532,52364022,3.6
25.6885786922378,58.4477188673937,52304028,4.0
25.5007671569238,58.3409694876404,52224014,3.4
25.409144852996,58.1310714142702,52223990,3.7
25.3337408514412,57.9561061387842,52223970,3.05
25.1571252739281,57.8663386720062,52143958,3.65
25.8999987731316,56.8038838818843,52843852,3.4
25.3626483136588,56.8875862785937,52503854,3.4
25.6560271828324,56.9440912762901,52663864,3.25
26.5746244269907,57.0315921614042,53183886,3.55
26.6460426834593,57.1145270218958,53203896,3.35
26.3562481131197,57.1515475688234,53023896,3.55
26.5471398366524,57.348344943099,53083920,2.55
25.6153580118843,57.64732359482,52463940,3.65
26.8296979641229,57.5148660719739,53203942,3.1
26.805280121098,57.536463382929,53183944,2.75
26.6832043478138,57.5705857738553,53103946,3.8
27.0497352700075,57.6892663807811,53283964,3.6
26.5504068915207,57.8824171906901,52943978,3.0
25.8670351851309,57.9849685313062,52523980,3.5
26.5994149387722,57.9131090536043,52963982,3.65
27.444158359987,57.8589570683824,53463988,3.0
26.0963740225069,58.0308099235684,52643988,3.65
27.4199018328082,57.8806673141837,53443990,3.0
27.5109505721749,57.924008250769,53483996,2.75
26.3754215004872,58.1070215674166,52784000,3.0
26.1849215478881,58.148897991197,52664002,3.2
26.8624393766103,58.1748822880007,53044014,3.95
26.2660734257785,58.2494836380155,52684014,3.15
26.5395663939442,58.2340720716385,52844016,3.25
26.4976862313023,58.2946039796656,52804022,3.15
