X,Y,POINT_ID,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED
22.5635204371659,52.6715080230999,51663358,133.89,8.22,555.57,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.65
23.1227277316267,52.6290773118348,52043360,150.05,8.02,584.49,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.95
21.6706307733459,52.9262179832482,51023376,123.93,8.41,554.23,Forestry,Woodland,26,2.65
22.6442866897567,52.845007208091,51683378,132.67,8.06,562.76,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.2
22.4493307476024,52.9019757099613,51543382,134.84,8.07,561.34,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.25
21.920480331812,52.9560449202361,51183382,120.41,8.31,557.87,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.05
22.0384428963853,53.0533199585542,51243394,138.55,8.1,571.09,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.85
22.230353970115,53.0884089463601,51363400,124.27,8.24,556.98,Semi-natural and natural areas not in use,Woodland,26,2.9
22.3802422700391,53.2913810969428,51423424,137.91,7.91,561.88,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.7
22.006714597225,53.8022019916137,51083476,137.17,7.92,597.6,Forestry,Woodland,26,3.05
22.0305423508604,53.5633792987727,51143450,174.57,7.74,585.17,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.55
22.2391933739063,53.5423955114694,51283450,172.01,7.73,575.1,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.25
22.3350212556186,53.6600340535966,51323464,138.96,7.68,579.56,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.2
22.3829199192468,53.5095204561511,51383448,141.17,7.72,571.86,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.85
22.4895774778156,53.6623663791123,51423466,114.47,7.66,571.86,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.6
22.5440093520518,53.6385203333282,51463464,126.78,7.56,565.48,Forestry,Woodland,26,3.05
20.2943473038086,53.5965780290933,50003436,181.0,7.95,626.6,Forestry,Woodland,26,3.65
21.2412649501929,53.4759152308989,50643432,131.19,7.97,587.01,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.7
21.6484494538732,53.4009081868259,50923428,111.94,8.17,569.55,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.6
25.0453508755992,54.5786428161404,52863598,154.59,7.37,593.64,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.25
25.318135923711,54.544842592392,53043598,153.66,7.23,596.78,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.7
25.934955577347,54.9802445867238,53323654,164.95,7.14,607.73,Forestry,Woodland,26,3.3
21.6796797534467,53.0707283219682,51003392,109.39,8.33,561.38,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.45
22.3957206930421,53.3443875154988,51423430,137.92,7.84,563.81,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.05
22.0003167525218,53.4572623253956,51143438,180.22,7.88,571.07,Forestry,Woodland,26,2.8
19.1211708568978,53.8171701606705,49203450,73.74,8.32,571.02,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.65
19.5295205074392,54.1299428386614,49423488,90.62,8.15,606.51,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.35
19.5886603990934,54.2521031886132,49443502,132.05,8.07,604.28,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.45
19.8625088264877,54.2304045529704,49623502,62.99,8.6,620.9,Forestry,Woodland,26,3.5
19.9798441032001,54.2027925953248,49703500,59.43,8.44,629.85,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.75
20.0754179233138,54.0862233720755,49783488,68.09,8.28,616.82,Forestry,Woodland,26,2.85
20.2752512262989,54.2690399018425,49883510,108.85,8.22,649.86,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.65
20.6750009299328,54.2530448048251,50143512,108.17,8.15,660.56,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.5
20.9572924642006,54.028446262791,50363490,104.61,8.06,626.96,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.35
21.0103428133043,53.8784336502985,50423474,155.2,7.83,623.08,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.65
21.1782082114813,54.0447226334289,50503494,127.71,8.13,602.36,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.0
21.9827801260663,54.0410204689713,51023502,149.43,7.86,625.04,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.0
22.3103372174532,53.680749828872,51303466,181.58,7.68,579.56,Forestry,Woodland,26,3.25
25.245921945191,55.5255598390897,52763704,146.29,7.03,606.07,Fallow land,Grassland,26,3.05
25.8576313088165,55.6697823799123,53103728,156.29,6.86,606.28,Forestry,Woodland,26,3.4
23.5659408588928,54.6959720286593,51903592,88.97,7.66,580.15,Forestry,Woodland,26,3.4
23.7550197785569,54.6932653534861,52023594,71.17,7.59,585.79,Forestry,Woodland,26,3.85
24.3284110586308,54.7009746693399,52383602,139.77,7.43,579.23,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.05
24.2842544221907,54.4866774228246,52403578,136.41,7.45,590.84,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.55
24.282652680184,54.212603456388,52463548,138.9,7.58,583.34,Forestry,Woodland,26,3.05
24.2949109733075,54.2477335441655,52463552,129.96,7.58,583.34,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.65
24.3066456047592,54.1915045539246,52483546,138.64,7.73,577.59,Forestry,Woodland,26,2.55
24.7289782964167,54.5804215332394,52663594,168.85,7.33,602.65,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.45
25.0183641545133,55.1865722048802,52703664,171.67,7.13,584.77,Forestry,Woodland,26,3.85
25.0507518612334,55.0177237990269,52763646,121.23,7.23,573.96,Fallow land,Grassland,26,3.05
25.2269787386396,55.1428183617216,52843662,161.13,7.02,598.59,Forestry,Woodland,26,2.95
25.2375003249406,55.0865231029758,52863656,137.64,7.14,591.14,Forestry,Woodland,26,2.9
26.0614692551205,55.8459928179095,53183750,146.94,6.72,594.56,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.8
27.4919777157511,55.8758467001472,54043774,169.17,6.73,556.19,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.4
27.0246579167607,56.0138477989775,53723782,169.66,6.56,544.8,Fallow land,Grassland,26,3.0
27.1104157348387,56.205081520013,53723804,167.94,6.46,523.27,Forestry,Woodland,26,2.9
26.5979151602948,56.4022651846351,53363818,107.9,6.73,533.73,Agriculture (excluding fallow land and kitchen gardens),Bareland,26,3.45
27.039559584409,56.3437372875463,53643818,149.21,6.5,517.35,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.4
27.1655146476623,56.3267391802542,53723818,154.99,6.48,515.77,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15
27.5444744572241,56.4225344949741,53923834,160.54,6.47,521.05,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.1
27.6786395526843,56.422378938979,54003836,159.32,6.42,531.28,Semi-natural and natural areas not in use,Grassland,26,3.4
27.0947530163722,56.5392064619884,53623840,136.17,6.58,508.05,Forestry,Woodland,26,2.65
28.104276350133,56.3992631174358,54263840,117.33,6.66,575.13,Semi-natural and natural areas not in use,Shrubland,26,3.7
28.0265589296196,56.4473481729141,54203844,129.43,6.7,560.87,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9
