n_estimators,max_features,max_samples,min_samples_split,min_samples_leaf,oob_r2,oob_rmse
500,0.5,0.632,20,15,0.3878405080472255,0.3503074424771899
100,0.5,0.632,30,15,0.38470536646940656,0.35120333713991053
200,0.5,0.632,30,15,0.38687880934592633,0.35058249988268836
500,0.5,0.632,30,15,0.3878405080472255,0.3503074424771899
100,0.5,0.8,10,5,0.3957091063780459,0.3480487634455248
200,0.5,0.8,10,5,0.3995302200290677,0.34694660969639185
500,0.5,0.8,10,5,0.3999294520676703,0.3468312539886009
100,0.5,0.8,20,5,0.3939337389872394,0.3485596608038211
200,0.5,0.8,20,5,0.39775660301725657,0.3474586227126626
500,0.5,0.8,20,5,0.39955125314710727,0.3469405332599563
100,0.5,0.8,30,5,0.39363939292170214,0.3486442924005498
200,0.5,0.8,30,5,0.3956399680667383,0.3480686734059102
500,0.5,0.8,30,5,0.397310064143521,0.347587412030605
100,0.5,0.8,10,10,0.392767193017696,0.3488949503771439
200,0.5,0.8,10,10,0.39521103087739073,0.3481921702530592
500,0.5,0.8,10,10,0.3953173029590352,0.34816157715835866
100,0.5,0.8,20,10,0.392767193017696,0.3488949503771439
200,0.5,0.8,20,10,0.39521103087739073,0.3481921702530592
500,0.5,0.8,20,10,0.3953173029590352,0.34816157715835866
100,0.5,0.8,30,10,0.3898825690109389,0.3497226710808659
200,0.5,0.8,30,10,0.39299819787153945,0.34882858036821324
500,0.5,0.8,30,10,0.39407126225176026,0.3485201125026882
100,0.5,0.8,10,15,0.3890623225162728,0.3499576770251852
200,0.5,0.8,10,15,0.3905439413778402,0.34953306854296007
500,0.5,0.8,10,15,0.39077505261725165,0.3494667892113998
100,0.5,0.8,20,15,0.3890623225162728,0.3499576770251852
200,0.5,0.8,20,15,0.3905439413778402,0.34953306854296007
500,0.5,0.8,20,15,0.39077505261725165,0.3494667892113998
100,0.5,0.8,30,15,0.3890623225162728,0.3499576770251852
200,0.5,0.8,30,15,0.3905439413778402,0.34953306854296007
500,0.5,0.8,30,15,0.39077505261725165,0.3494667892113998
100,sqrt,0.5,10,5,0.3924673692493479,0.3489810739266514
200,sqrt,0.5,10,5,0.3943656720993284,0.3484354323962281
500,sqrt,0.5,10,5,0.3947191096936076,0.3483337471485211
100,sqrt,0.5,20,5,0.38694508644502246,0.35056355075859696
200,sqrt,0.5,20,5,0.39012202150824504,0.34965403660096395
500,sqrt,0.5,20,5,0.3906680793585039,0.3494974691437733
100,sqrt,0.5,30,5,0.3845070975224728,0.35125991743771723
200,sqrt,0.5,30,5,0.3861993216479056,0.35077671151287343
