"mtry","mincriterion","ntree","oob_r2","oob_rmse"
2,0.9,500,0.389173763313856,0.349925757778164
3,0.9,500,0.397440360314122,0.347549837355723
4,0.9,500,0.399710492369863,0.346894525832606
2,0.95,500,0.383732081008898,0.351480997641909
3,0.95,500,0.390822471358217,0.34945318865409
4,0.95,500,0.394114189645107,0.348507766723374
2,0.99,500,0.374826303041465,0.354011539816383
3,0.99,500,0.381640084932277,0.352077064619251
4,0.99,500,0.383680024560566,0.351495842213125
