"lon","lat","block","n_pts"
-3.8610681779611,40.657764402428,1,1388
13.0796363612415,48.2911917683069,2,886
23.3810610560272,42.7439878534295,3,589
22.4038692527885,53.8737741334935,4,624
2.03103600505857,47.7680804120341,5,939
