"fold","block_id","n_test","r2","rmse"
1,1,1388,0.488827397156842,0.377440686967387
2,2,886,0.355432751359674,0.351247724645232
3,3,589,0.138033243282903,0.357152496231177
4,4,624,0.19404761967999,0.367572648991424
5,5,939,0.51817579581788,0.3193088774089
