POINT_ID,SHI,hoehe_m,Landuse,Landcover
34982730,2.9,95.85,Agriculture (excluding fallow land and kitchen gardens),Cropland
35202882,3.4,188.21,Agriculture (excluding fallow land and kitchen gardens),Cropland
34022030,3.25,1329.27,Semi-natural and natural areas not in use,Grassland
33981990,2.55,1316.34,Semi-natural and natural areas not in use,Grassland
35342964,3.4,21.12,Agriculture (excluding fallow land and kitchen gardens),Grassland
35082784,3.65,35.55,Agriculture (excluding fallow land and kitchen gardens),Grassland
34402298,2.9,308.24,Agriculture (excluding fallow land and kitchen gardens),Cropland
34082060,2.9,804.05,Agriculture (excluding fallow land and kitchen gardens),Cropland
34362268,3.4,1258.64,Forestry,Woodland
36203536,3.8,124.92,Agriculture (excluding fallow land and kitchen gardens),Grassland
34182132,2.8,215.77,Semi-natural and natural areas not in use,Grassland
34202146,2.7,324.65,Semi-natural and natural areas not in use,Shrubland
33941950,3.5,1002.51,Agriculture (excluding fallow land and kitchen gardens),Grassland
35883324,3.15,65.65,Agriculture (excluding fallow land and kitchen gardens),Bareland
35082780,3.05,50.98,Agriculture (excluding fallow land and kitchen gardens),Cropland
34042024,2.55,1269.67,Agriculture (excluding fallow land and kitchen gardens),Cropland
34442320,2.7,164.01,Agriculture (excluding fallow land and kitchen gardens),Grassland
34022002,2.05,1357.06,Agriculture (excluding fallow land and kitchen gardens),Cropland
34222150,2.5,353.05,Agriculture (excluding fallow land and kitchen gardens),Cropland
34042006,2.2,1314.89,Semi-natural and natural areas not in use,Shrubland
34062008,2.85,1256.27,Agriculture (excluding fallow land and kitchen gardens),Cropland
34041988,3.25,1566.29,Forestry,Woodland
35162802,3.25,86.47,Agriculture (excluding fallow land and kitchen gardens),Grassland
34102020,2.45,1269.16,Semi-natural and natural areas not in use,Shrubland
34282152,2.95,287.71,Agriculture (excluding fallow land and kitchen gardens),Cropland
34041970,2.15,1025.96,Semi-natural and natural areas not in use,Woodland
34762502,2.95,22.19,Agriculture (excluding fallow land and kitchen gardens),Cropland
34602380,2.6,72.91,Forestry,Woodland
35102740,3.05,107.41,Agriculture (excluding fallow land and kitchen gardens),Cropland
34222096,2.75,376.34,Fallow land,Grassland
34122012,3.15,1412.88,Forestry,Woodland
34582352,3.6,58.26,Agriculture (excluding fallow land and kitchen gardens),Grassland
35342896,3.85,155.4,Forestry,Woodland
34162032,2.55,1041.99,Fallow land,Bareland
34202062,2.95,863.71,Agriculture (excluding fallow land and kitchen gardens),Cropland
35162766,3.45,63.11,Agriculture (excluding fallow land and kitchen gardens),Grassland
34362178,3.1,421.06,Agriculture (excluding fallow land and kitchen gardens),Cropland
34162018,2.8,1108.21,Agriculture (excluding fallow land and kitchen gardens),Grassland
35462962,3.1,61.77,Agriculture (excluding fallow land and kitchen gardens),Cropland
34242074,2.45,491.98,Fallow land,Bareland
34182024,2.35,1158.84,Semi-natural and natural areas not in use,Shrubland
34262082,2.5,391.94,Fallow land,Bareland
34682394,3.15,99.74,Forestry,Woodland
35743146,3.85,199.46,Agriculture (excluding fallow land and kitchen gardens),Grassland
35482964,2.95,58.16,Agriculture (excluding fallow land and kitchen gardens),Cropland
34362150,2.65,412.99,Agriculture (excluding fallow land and kitchen gardens),Cropland
34161996,3.75,1480.59,Semi-natural and natural areas not in use,Shrubland
35042650,3.15,39.67,Agriculture (excluding fallow land and kitchen gardens),Cropland
34402178,2.35,423.74,Agriculture (excluding fallow land and kitchen gardens),Cropland
35002620,3.5,22.55,Agriculture (excluding fallow land and kitchen gardens),Cropland
34382156,2.4,406.38,Fallow land,Grassland
34402168,3.15,378.1,Agriculture (excluding fallow land and kitchen gardens),Cropland
34382138,2.65,401.03,Agriculture (excluding fallow land and kitchen gardens),Cropland
34502224,3.2,763.86,Fallow land,Grassland
34322080,2.5,327.25,Fallow land,Bareland
35062630,3.4,14.59,Agriculture (excluding fallow land and kitchen gardens),Cropland
33961792,2.75,866.69,Fallow land,Grassland
35322812,3.35,104.93,Agriculture (excluding fallow land and kitchen gardens),Grassland
34482192,2.9,645.0,Agriculture (excluding fallow land and kitchen gardens),Cropland
34982564,3.4,18.82,Agriculture (excluding fallow land and kitchen gardens),Cropland
34021832,2.75,157.61,Agriculture (excluding fallow land and kitchen gardens),Cropland
35943240,3.65,195.4,Forestry,Woodland
34402118,3.0,275.94,Fallow land,Bareland
35302784,3.5,28.88,Agriculture (excluding fallow land and kitchen gardens),Grassland
35162680,2.85,199.15,Agriculture (excluding fallow land and kitchen gardens),Cropland
34362082,2.8,291.78,Agriculture (excluding fallow land and kitchen gardens),Cropland
34121886,2.55,104.75,Agriculture (excluding fallow land and kitchen gardens),Cropland
34342040,2.45,823.42,Agriculture (excluding fallow land and kitchen gardens),Cropland
34522176,2.1,465.67,Agriculture (excluding fallow land and kitchen gardens),Cropland
34602236,3.9,1285.37,Forestry,Woodland
34422080,2.8,265.96,Agriculture (excluding fallow land and kitchen gardens),Cropland
35602950,3.15,77.62,Agriculture (excluding fallow land and kitchen gardens),Cropland
34922452,3.1,52.28,Semi-natural and natural areas not in use,Woodland
35242684,2.95,159.96,Agriculture (excluding fallow land and kitchen gardens),Cropland
34582186,3.0,632.99,Agriculture (excluding fallow land and kitchen gardens),Cropland
35342752,3.5,54.09,Agriculture (excluding fallow land and kitchen gardens),Cropland
35042530,3.4,73.82,Agriculture (excluding fallow land and kitchen gardens),Cropland
34562164,2.5,378.89,Agriculture (excluding fallow land and kitchen gardens),Cropland
35282704,2.7,120.47,Agriculture (excluding fallow land and kitchen gardens),Cropland
34582178,2.9,513.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
35642962,3.5,49.55,Agriculture (excluding fallow land and kitchen gardens),Cropland
35062540,3.3,42.84,Agriculture (excluding fallow land and kitchen gardens),Cropland
34261924,2.25,395.43,Agriculture (excluding fallow land and kitchen gardens),Cropland
34201876,2.6,27.7,Agriculture (excluding fallow land and kitchen gardens),Cropland
35963184,3.0,56.51,Forestry,Woodland
34582172,2.05,445.19,Agriculture (excluding fallow land and kitchen gardens),Cropland
35082550,3.2,57.2,Agriculture (excluding fallow land and kitchen gardens),Cropland
35182620,3.7,84.06,Forestry,Woodland
34822350,2.8,124.4,Agriculture (excluding fallow land and kitchen gardens),Cropland
34502098,3.5,194.99,Agriculture (excluding fallow land and kitchen gardens),Cropland
35202624,3.75,43.79,Agriculture (excluding fallow land and kitchen gardens),Bareland
35522856,3.25,182.63,Agriculture (excluding fallow land and kitchen gardens),Cropland
35162590,3.85,49.5,Agriculture (excluding fallow land and kitchen gardens),Cropland
