POINT_ID,BD 0-20,Depth,pH_CaCl2,EC,OC,P,N,K,TH_LAT,TH_LONG,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Clay,erosion_by_water
52264296,1.107,0-20 cm,3.0,9.11,61.9,28.6,2,70.1,60.79354811,26.7506042,C23,U120,Woodland,Other coniferous woodland,Forestry,6.0,
56582460,1.353,0-20 cm,6.0,5.13,14.3,25.5,1.4,286.5,43.89514033,26.76003031,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),48.0,0.320510149002075
56862330,1.284,0-20 cm,5.1,5.68,22.6,< LOD,2.2,149.6,42.69890696,26.76427123,C10,U120,Woodland,Broadleaved woodland,Forestry,21.0,0.0750022828578949
51044766,0.363,0-20 cm,3.2,6.43,235.3,14.5,7.9,42.9,65.14870157,26.76824668,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,2.0,
52204324,1.101,,,,,,,,,,,,,,,5.0,
52304286,0.851,0-20 cm,3.4,12.23,78.5,82.4,3.5,119.1,60.69802994,26.77623452,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,4.0,
51124738,0.143,0-20 cm,3.6,15.58,526,32.5,25.3,116.1,64.88731569,26.77897423,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,,
52744114,0.841,0-20 cm,4.0,10.79,82.7,26.4,3.8,83.7,59.10814292,26.78137065,D20,U120,Shrubland,Shrubland without tree cover,Forestry,14.0,1.68095414210256e-06
56662432,1.397,0-20 cm,5.0,18.56,13.9,42.2,1.4,199.9,43.633647,26.78444902,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),25.0,2.43543410301208
53183944,0.931,0-20 cm,5.9,5.12,9,< LOD,0.7,38.2,57.53646338,26.80528012,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.0,0.0
56782386,1.362,0-20 cm,7.4,37.2,16.1,5.1,2.1,250.6,43.20621876,26.81081132,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),17.0,0.903196632862091
49865206,1.172,0-20 cm,4.2,2.26,25,< LOD,1,28.3,69.24761196,26.8147317,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,3.0,
53363876,0.309,0-20 cm,3.7,14.63,169.6,18.3,8.3,68.4,56.90711026,26.82367757,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,,3.99213533341936e-08
53503820,0.855,,,,,,,,,,,,,,,4.0,5.7516447160566e-10
53203942,1.043,0-20 cm,3.8,5.44,28.4,< LOD,1.8,30.3,57.51486607,26.82969796,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,5.0,0.0
52744126,0.625,0-20 cm,5.7,78.6,220.5,54.7,15.4,129.1,59.21255941,26.83289321,C10,U120,Woodland,Broadleaved woodland,Forestry,23.0,8.85806798578415e-07
53004024,1.281,0-20 cm,6.6,14.35,15,36.8,1.5,275.8,58.2703047,26.83776811,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens),6.0,0.408736765384674
52384270,0.759,0-20 cm,4.0,9.24,62.3,25.5,3.5,162.9,60.54180693,26.84532141,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,11.0,
53044014,1.153,0-20 cm,6.5,17.24,43.2,246.2,3.9,364.6,58.17488229,26.86243938,E30,U420,Grassland,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use,5.0,0.0
56702444,1.346,0-20 cm,4.8,4.81,16.2,14.7,1.5,205.6,43.73077002,26.86423439,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),87.0,2.7856388092041
56122710,1.148,0-20 cm,4.2,13.22,22.7,12.2,2.2,213.9,46.17633093,26.86456138,C10,U120,Woodland,Broadleaved woodland,Forestry,33.0,0.0
56942334,1.495,0-20 cm,5.5,4.29,11.3,< LOD,1.2,215.4,42.71794527,26.86994824,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),43.0,2.79530000686646
51324680,0.21,0-20 cm,3.6,22.0,383,61,17.6,199.1,64.33865743,26.87026614,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,33.0,
51084772,0.155,0-20 cm,3.8,17.12,500.3,74.8,26.5,79.3,65.19237408,26.8836762,C10,U120,Woodland,Broadleaved woodland,Forestry,,
56682466,1.346,0-20 cm,5.1,10.34,16,31.1,1.6,253.9,43.92756555,26.89759763,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),41.0,0.299999982118607
55982786,0.95,0-20 cm,5.2,13.04,21,19.2,2.2,217.7,46.86900982,26.90148576,B51,U111,Cropland,Clovers,Agriculture (excluding fallow land and kitchen gardens),56.0,0.370220810174942
52224346,1.106,0-20 cm,3.9,4.28,32.8,10.1,1.7,28.4,61.23723489,26.90998317,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,5.0,
55742898,1.182,0-20 cm,7.3,28.03,22.9,< LOD,2.3,625.5,47.89607404,26.91674374,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),16.0,0.310178816318512
52944068,0.965,0-20 cm,3.8,21.6,102.6,52,6.1,139,58.66570796,26.92260865,C33,U120,Woodland,Other mixed woodland,Forestry,4.0,0.0
56022776,0.968,0-20 cm,7.3,44.6,22,7.3,2.7,388.6,46.77348565,26.92412693,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens),5.0,
56822416,1.296,0-20 cm,7.4,15.44,25.7,< LOD,2.5,252.8,43.46114191,26.93662051,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),25.0,0.578266143798828
53723760,1.343,0-20 cm,4.7,3.71,8.2,< LOD,0.8,72.1,55.8225446,26.93989515,E10,U120,Grassland,Grassland with sparse tree/shrub cover,Forestry,16.0,0.0
52284330,,0-20 cm,3.0,10.01,93.8,34.7,4,129.1,61.0851891,26.94323179,C23,U120,Woodland,Other coniferous woodland,Forestry,4.0,
51184746,0.243,0-20 cm,3.8,37.0,324.1,21.8,15.9,104.7,64.94407056,26.94503972,C33,U120,Woodland,Other mixed woodland,Forestry,,
56382624,1.023,0-20 cm,7.2,15.52,19.6,< LOD,1.8,287.4,45.37143953,26.95280216,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),49.0,0.642798066139221
51824508,0.939,0-20 cm,3.9,3.26,29.8,18.9,1.3,27.3,62.73292139,26.95458581,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,4.0,
53723764,1.239,0-20 cm,5.3,117.7,342,27.4,25.9,78.8,55.85733214,26.95523329,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),6.0,0.0
52004440,0.3,0-20 cm,4.0,23.9,274.6,66.6,11.3,1631.7,62.10236111,26.9563797,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,,
53303934,0.335,0-20 cm,5.7,45.7,442.1,57.5,32.2,154.7,57.42421054,26.95951263,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,,8.91447541562229e-07
56742462,1.241,0-20 cm,7.5,14.64,18.8,114,1.9,648.7,43.88036754,26.96013581,E30,U420,Grassland,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use,30.0,0.304870247840881
56142736,0.95,0-20 cm,7.4,25.8,20.7,38.4,2.7,378.6,46.39949465,26.9633072,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),71.0,0.520865082740784
56462592,1.3,0-20 cm,6.9,18.29,28.9,< LOD,2.8,474.8,45.07523679,26.96473171,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),22.0,0.299999982118607
53323928,0.318,0-20 cm,5.5,93.5,440.2,20.9,24.1,108.6,57.36780848,26.96754425,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,,0.0
51944466,0.681,0-20 cm,3.9,5.58,36.6,32.9,1.7,48.5,62.3415302,26.97194508,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.0,
51584602,1.177,0-20 cm,4.3,7.03,27.4,12.3,2.2,140.3,63.60306694,26.97270005,D10,U120,Shrubland,Shrubland with sparse tree cover,Forestry,43.0,
55822888,,0-20 cm,7.1,24.44,31.8,< LOD,3.3,621.8,47.79238325,26.99169811,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),58.0,0.0
56862420,1.298,0-20 cm,5.5,6.38,16.1,< LOD,1.6,231.7,43.48807524,26.99542386,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),49.0,1.74214065074921
55922848,1.388,0-20 cm,6.8,12.46,37.7,< LOD,3.7,565.1,47.42271139,27.00388797,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),62.0,0.368976563215256
53403908,1.488,0-20 cm,4.8,12.96,15.4,22.5,1.4,103.7,57.17697957,27.01570183,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),5.0,0.25
57062336,1.235,0-20 cm,7.5,12.81,15.3,< LOD,1.7,475.6,42.71121751,27.0183507,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),11.0,0.100002624094486
52264354,0.844,0-20 cm,3.6,5.19,39.8,39.7,1.6,39,61.2982488,27.01990046,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,5.0,
51184760,0.838,0-20 cm,3.6,3.56,33.9,14.5,1.2,41.6,65.06604353,27.0224451,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,4.0,
55882872,1.159,,,,,,,,,,,,,,,13.0,0.280982911586761
53563846,0.972,0-20 cm,6.8,17.66,43.3,10.8,2.8,99,56.60408713,27.02346832,E30,U420,Grassland,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use,26.0,0.0249999985098839
53723782,1.49,0-20 cm,5.6,5.29,15.5,32.5,1.3,117.3,56.0138478,27.02465792,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,13.0,1.06832715118799e-06
56922404,1.176,0-20 cm,7.5,16.93,21.6,22.4,2.1,330.1,43.3356893,27.0261076,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),49.0,1.8636691570282
53403912,0.818,0-20 cm,3.6,7.26,33,15.5,1.7,39.5,57.21175223,27.03186979,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,8.0,0.0
53643818,1.115,0-20 cm,5.9,7.91,33.8,< LOD,3.1,55.1,56.34373729,27.03955958,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens),15.0,0.349016934633255
57162300,1.317,0-20 cm,6.2,5.1,22,30.1,1.9,320.2,42.37520582,27.04555784,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens),48.0,0.0250003002583981
53283964,1.197,0-20 cm,6.2,14.46,30.5,18.9,2.6,57.4,57.68926638,27.04973527,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,8.0,0.0
51264736,0.116,0-20 cm,3.2,19.5,493.7,52.2,14.8,447.4,64.83951964,27.05286514,C33,U120,Woodland,Other mixed woodland,Forestry,,
56922416,1.162,0-20 cm,4.9,8.08,34.9,18.5,3.1,185.6,43.44081756,27.05748028,C10,U120,Woodland,Broadleaved woodland,Forestry,21.0,6.89868259429932
55942860,1.278,,,,,,,,,,,,,,,66.0,0.386965215206146
56202746,1.25,0-20 cm,5.7,7.35,19.9,21.9,2,379,46.47454551,27.06819547,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),47.0,0.0
57122330,1.272,0-20 cm,5.1,5.14,17,< LOD,1.8,157.5,42.64640726,27.07456256,E10,U111,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),10.0,0.0249999985098839
51124792,0.96,0-20 cm,3.7,2.76,30.1,< LOD,1.1,21.4,65.35792697,27.07818736,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1.0,
51364706,0.318,0-20 cm,3.6,19.19,387,23.7,15.6,67.8,64.55641885,27.09060376,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens),,
56462638,0.89,,,,,,,,,,,,,,,40.0,0.482888847589493
